"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.670018497E1,1.444609016E-1,-1.190230846E-1,-4.481897354E-1
3.680015163E1,-1.045623571E-1,-7.227007151E-1,2.973995209E0
3.690011830E1,-8.670147061E-1,-2.091284037E0,4.556506157E0
3.700008496E1,2.854944170E-1,-6.723173261E-1,-2.320508957E-1
3.710005163E1,-6.472904086E-1,8.551729918E-1,-2.037483215E0
3.720001830E1,3.608477414E-1,-5.905454159E-1,-1.703023911E-1
3.729998496E1,4.664373398E-1,-5.972301960E-1,1.971116066E0
3.739995163E1,-5.429209471E-1,-1.495019913E0,3.230783463E0
3.749991829E1,1.721004844E-1,-1.165989518E0,-2.201175690E-2
3.759988496E1,-1.092422724E0,1.340163946E-1,-2.741885185E0
3.769985162E1,3.222002387E-1,-2.947190404E-1,-1.799192429E-1
3.779981829E1,-2.217878252E-1,-8.237937689E-1,2.458612442E0
3.789978496E1,-1.027038932E0,-2.007066727E0,3.547880173E0
