"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.794156531E1,-1.451999950E1,-1.997999954E1,-4.061999893E1
3.804156530E1,-1.692000008E1,-2.189999962E1,-3.887999725E1
3.814156530E1,-1.565999985E1,-2.010000038E1,-4.218000031E1
3.824156530E1,-1.811999893E1,-2.273999977E1,-3.905999756E1
3.834156530E1,-1.602000046E1,-2.081999969E1,-4.265999985E1
3.844156531E1,-1.739999962E1,-2.226000023E1,-4.200000000E1
3.854156530E1,-1.943999863E1,-2.027999878E1,-4.325999832E1
3.864156530E1,-2.105999947E1,-1.889999962E1,-4.295999908E1
3.874156530E1,-2.297999954E1,-1.787999916E1,-4.043999863E1
3.884156530E1,-2.376000023E1,-1.787999916E1,-4.284000015E1
3.894156531E1,-2.345999908E1,-1.644000053E1,-4.097999954E1
3.904156530E1,-2.219999886E1,-1.373999977E1,-4.079999924E1
